word,pronunciation,part of speech,explanation,etymology (comma-separated)
A,A,Pronoun,,A
Abenideon,Abenideon,Noun,,Abenid
Achkeon,Achkeon,Noun,,Achk
Achkideon,Achkideon,Adjective,,Achk
Achkin,Achkin,Adverb,,Achk
Achkirian,Achkirian,Verb,,Achm
Achmemeon,Achmemeon,Noun,,Achm
Achmeon,Achmeon,Noun,,Achm
Achmideon,Achmideon,Adjective,,Achm
Achmingeon,Achmingeon,Verb,,Achm
Aderaratideon,Aderaratideon,Adjective,,Ader
Adereon,Adereon,Noun,,Ader
Aderideon,Aderideon,Adjective,,Ader
Adrenalineon,Adrenalineon,Noun,,Adrenalin
Adreseon,Adreseon,Noun,,Adrenalin
Aeneon,Aeneon,Noun,,Aen
Aenirian,Aenirian,Verb,,Aen
Aereon,Aereon,Noun,,Aer
Aerideon,Aerideon,Adjective,,Aer
Afganistaneon,Afganistaneon,Noun,,Afganist
Afganistaniopaon,Afganistaniopeon,Noun,,Afganist
Afhabeon,Afhabeon,Noun,,"Af, hab"
Afhabirian,Afhabirian,Verb,,"Af, hab"
Afirian,Afirian,Verb,,Af
Afpudlafeon,Afpudlafeon,Noun,,"Af, puda"
Afrikeon,Afrikeon,Noun,,Afrik
Afrikideon,Afrikideon,Adjective,,Afrik
Afrikiopaon,Afrikiopaon,Noun,,Afrik
Aftasdiyeon,Aftdiyeon,Noun,,"Aft,as (astel),diy"
Aftasdiyin,Aftasdiyin,Adverb,,"Aft, as (astel), diy"
Aftideon,Aftideon,Adjective,,Aft
Aftin,Aftin,Adverb,,Aft
Aftratsgonaribirian,Aftratsgonaribirian,Verb,,"Aft, rats, gon, arib"
Aftufainaribirian,Aftufainaribirian,Verb,,"Aft, fain, arib"
Aftupibemeon,Aftpibemeon,Noun,,"Aft, pib"
Aftupibideon,Aftpibideon,Adjective,,"Aft, pib"
Aftupibirian,Aftpibirian,Verb,,"Aft, pib"
Agakemaon,Agakemaon,Noun,,"Agak, em"
Agakeon,Agakeon,Noun,,Agak
Agakideon,Agakideon,Adjective,,Agak
Agdemaon,Agdemaon,Noun,,"Agd, em"
Agdirian,Agdirian,Verb,,Agd
Agdufortaenbeabemeon,Agdufortaenbeabemeon,Noun,,"Agd, fort, aen, beab"
Agdufortaenideon,Agdufortaenideon,Adjective,,"Agd, fort, aen"
Agdufortaenirian,Agdufortaenirian,Verb,,"Agd, fort, aen"
Agduforteon,Agduforteon,Noun,,Agak
Agdufortideon,Agdufortideon,Adjective,,Agak
Agirian,Agirian,Verb,"Se usa cuando se refiere a la creación de algo nuevo a partir de uno o más ingredientes excluyendo en su interacción original a un ser pensante (oxidación, putrefacción)",Ag
Ahakbasnirian,Ahakbasnirian,Verb,,"Ah, akb, asn"
Ahakbideon,Ahakbideon,Adjective,,"Ah, akb"
Ahakbugonemeon,Ahakbugonemeon,Noun,,"Ah, akb"
Ahakbugoneon,Ahakbugoneon,Noun,,"Ah, akb"
Ahakbugonirian,Ahakbugonirian,Verb,,"Ah, akb"
Ahanbochemaon,Ahanbochemaon,Noun,el que subcontrata,"Ah,anboch,em"
Ahanbocheon,Ahanbocheon,Noun,,"ah,anboch"
Ahanbochiesemaon,Ahanbochiesemaon,Noun,,"Ah,anboch,em"
Ahanbochirian,Ahanbochirian,Verb,,"Ah,anboch"
Ahatseon,Ahatseon,Noun,,"Ah, ats"
Ahchuchakbufengonatseon,Ahchuchakbufengonatseon,Noun,,"Ah,chuch,akb,fen,gon"
Ahchuchemeon,Ahchuchemeon,Noun,,"Ah, chuch, em"
Ahchuchideon,Ahchuchideon,Adjective,,"Ah, chuch"
Ahchuchnekfreyatseon,Ahchuchnekfreyatseon,Noun,,"Ah, chuch, nek, frey, ats"
Ahchuchtrainboyeon,Ahchuchtrainboyeon,Noun,,"Ah, chuch, train, boy"
Ahgonatseon,Ahgonatseon,Noun,,"Ah, gon, ats"
Ahgonirian,Ahgonirian,Verb,,"Ah, gon"
Ahgrondakbatseon,Ahgrondakbatseon,Noun,,"Ah, grond, akb, ats"
Ahgrondakbeon,Ahgrondakbeon,Noun,,"Ah, grond, akb"
Ahin,Ahin,Adverb,,
Ahirian,Ahirian,Verb,,
Ahmofirian,Ahmofirian,Verb,,
Ahmofirian,Ahmofirian,Verb,,
Ahputirian,Ahputirian,Verb,,
Aibeon,Aibeon,Noun,,
Aibirian,Aibirian,Verb,,
Aideon,Aideon,Noun,,Aid
Akbeon,Akbeon,Noun,,
Akbideon,Akbideon,Adjective,,
Akbugonadideon,Akbugonadideon,Adjective,,
Akbugonemeon,Akbugonemeon,Noun,,
Akbugoneon,Akbugoneon,Noun,,
Akbugonhaltatseon,Akbugonhaltatseon,Noun,,
Akbugonirian,Akbugonirian,Verb,,
Akiuf,Akiuf,Preposition,,
Akiufeon,Akiufeon,Noun,,
Akiufideon,Akiufideon,Adjective,,
Akiufin,Akiufin,Adverb,,
Akiufirian,Akiufirian,Verb,,
Aksolotleon,Aksolotleon,Noun,,
Aktemon,Aktemon,Noun,,
Akteon,Akteon,Noun,,
Aktingeon,Aktingeon,Noun,,
Aktirian,Aktirian,Verb,,
Alamadeon,Alamadeon,Noun,,
Alaskeon,Alaskeon,Noun,,
Alaskiopaon,Alaskiopeon,Noun,,
Albaniyeon,Albaniyeon,Noun,,
Albaniyiomeon,Albaniyiomeon,Noun,,
Albaniyiopaon,Albaniyiopeon,Noun,,
Algayeon,Algayeon,Noun,,
Alobadideon,Alobadideon,Adjective,#VALUE!,
Alobeon,Alobeon,Noun,,
Alobirian,Alobirian,Verb,,
Alobofeon,Alobofeon,Noun,,
Altrideon,Altrideon,Adjective,,
Altrin,Altrin,Adverb,,Altr
Altriomasnadosipeon,Altriomasnadosipeon,,Producto de Traducir,"Altr,iom"
Altriomasnemaon,Altriomasnemaon,Noun,Persona,"Altr,iom"
Altriomasnirian,Altriomasnirian,Verb,,"Altr,iom"
Altriomasnofeon,Altriomasnofeon,Noun,,"Altr,iom"
Altrufaum,Altrufaum,Adverb,,"Altr,faum"
Altrun,Altrun,Pronoun,,
Amanton,Amanton,Noun,,
