Abenid = Avenue,Ba = But (in English but),"Chal = Chala, sandal","Da = Fair, justly",Ebent = Event,Fad = Thread,Gab = Good,Hab = To have,"Ilm = To appear, to present oneself before authority (Estonian ilmuvad)",,"Kabay = Tender, adorable (in Japanese かわいい)",Lab = Lava,Mach = Match (sport),Nag = Throw (et Japanese 投げる Nageru),O = He,"Pad = Pad, platform (in English Pad)",,Rab = Rabies (disease),"S = To be, To be","Tad = To stand up, to stop",Uaey = United Arab Emirates,,,,Yaen = So much
Achk = Enough,Bad = Bathroom,Chatorn = Channel (of liquid) (et Hungarian Csatorna),Dab = Duty (in Spanish Deber),Ekin = Horse,Fah = Easy,"Gad = Gather (to collect things, et English Gather)",Hadak = Naked,Ichonad = Depend (et Korean 의존하다),,Kad = Power,Labor = Work,Machin = Machine,Nagek = Cry (et 嘆くNageku),Ob = Egg,"Pai = Bye, Goodbye",,Rad = Shave,Sa = They,Tadash = Correct (et Japanese 正しい Tadashii),Uald = While,,,,Yag = To hunt
Achm = Breathe,"Badrob = Bathrobe, bathrobe",Cheberiy = Government (in Albanian Qeveria),"Dad = Dad, Mom (in English Dad)",Ekl = Church,"Fain = End, final",Gafil = Grandson,Hah = Laugh,Id = Idea,,Kaen? = Who?,Lair = Neither,Mad = Crazy (in English Mad),Nagel = Nail,Oblad = Control (et Czech Ovládat),Pail = Arch,,Radiks = Root (mathematics),Sadam = Decide (et Japanese 定める Sadameru),Tahn = Symbol (et Icelandic Tákn),Uan = One (number),,,,Yam = Mountain
Ader = Vein (in Dutch Ader),Baerd = Cattle,Cheh = Czech,Dae(r) = Too much,Ekr = Write (et French Écrire),Fak = False,Gafit = Grandfather,Haiti = Haiti,Idiom = Language,,Kaf = Coffee (color),Lak = Like (comparison),Maestr = Teacher,Naim = Wave,Oblit = To forget,Paint = Painting,,Radis = Root (not of the tree),Saet = Silk,Taiban = Taiwan,United Kingdom = United Kingdom,,,,Yanp = Jump
Adrenalin = Adrenaline,Bagn = Vagina (et Spanish Vagina),Chemis = Shirt,Dak = Behind,Ekran = Screen (Polish et Ekran),Faktor = Factory (et English Factory),Gag = Big,Haiyan = Ocean (et Chinese 海洋 Hǎiyáng),"Ifn = Afternoon (part of the day, in English Evening)",,Kafr = Coffee (drink),Lam = Llama,Mag = Bad,Nals = Underwear,Oboed = Obey,Paired = Party (Political),,Rah = Anger,"Sail = Next to, next to",Tailand = Thailand,Uaroy = United Kingdom,,,,Yanuarmonat = January
Adres = Address (in English Address),Baham = Bahamas,Chert = True (in Italian Certo),Dan = That (comparative) (in English Than),Exact = Exact,Fal = Fall,Gagab = Sweetie,"Halbontesad = Alameda, boulevard",Ikamp(e) = However,,Kak = Past,Lamp = Lamp,Magent = Magenta,Nam = Name,Ochay = Tea (in Japanese お茶 Ocha),Pakistan = Pakistan,,Raher = Ministry (et Icelandic Ráðherra),Sak = To make something material,Taisets = Important (et Japanese 大切 Taisetsu),Uch = Hit,,,,Yaosh = Key (et Chinese 钥匙 Yàoshi)
Aen = Give,Baishpil = Example (in German Beispiel),Chert = Security (and Esperanto Certa),"Dans= Dance, dance (et Romanian Dans)",Eksper = Experiment,Famil = Family,Gak = Class (school),Half = Half,Ikat = Identity,,Kakshis = Horny,Lan = Woman,Magn = Magnet,Namnboy = Esophagus,Od = Hear,Pal = Shovel,,Raiks = Root (plants),Salnitrum = Saltpeter,Taiy = Confront (et Japanese 対峙 Taiji),Uchastok = Section (et Russian участок),,,,Yar = Year
Aer = Air (Latin Aer),Bak = Epic (et Spanish Col Bakán),Chibot = Belly (et Russian Живот),Danyak = Ammunition (in Japanese 弾薬 Danyaku),Ekual = Equal,Fang = Catch (German Fangen),"Galat = Bucket, pail","Halsak = Network (non-physical, Hungarian et Hálózat)",Imag = Image,,Kal = Heat,Land = Terrain (et German Land),Maiamonat = May,"Namen = Meaning, that is (et Czech Znamenat)","Oenbis = Review, verify",Palas = Palace,,Raildon = Instead of,Salt = Salt,Takay = Expensive (et Japanese 高い Takai),"Uchel = Bird, bird (et Italiano Uccello)",,,,Yas = Wild
Af = To have,Bakl = Word,Chik = Region (Japanese 地域 Chiiki),Danyer = Danger (et English Danger),Ecuador = Ecuador,Farb = Color,Galstuk = Tie (Russian галстук),"Halt = Stop, halt (movement)","In = In, inside, within",,Kaled = Quality,Lang = Tongue (body),Mail = Smile,Namlaf = Noun,"Oft = Often, frequently, many times",palestin = palestine,,Raket = Racket,Salt = Salt (in English Salt),Taks = Tax (in English Tax),Uen = Separate into multiple ways,,,,"Yatin = Know (someone, et Aimara Yatiña)"
Afghanistan = Afghanistan,Balist = Crossbow (from Latin Ballista),Chil = Chile (in Spanish Chile),Dast = Transform,Elbir = Lose (object),"Fas = To fasten, to button",Gansor = Liver (in Japanese 肝臓 Kansou),Ham = Ham,Inbestig = To investigate,,Kalet = Cookie,Lant = Lantern,Main = Mine,Namn = Eat,Og = Even,Palom = Dove,,Rals = Upper outer clothing,"Saltre = Others, others",Taksiy = Taxi,Uguag = Jacket (in Japanese 上着 Uwagi),,,,Yauk = Floor (in Japanese 床 Yuka)
