word,part of speech,definition,explanation,etymology (comma-separated)
A,Pronoun,Ella,,A
Abenideon,Noun,Avenida,,Abenid
Achkeon,Noun,Suficiencia,,Achk
Achkideon,Adjective,"Suficiente, bastante",,Achk
Achkin,Adverb,"Suficientemente, suficiente",,Achk
Achkirian,Verb,"Ser suficiente, bastar",,Achm
Achmemeon,Noun,Hálito,,Achm
Achmeon,Noun,Respiro,,Achm
Achmideon,Adjective,Respiratorio,,Achm
Achmingeon,Verb,Respiración,,Achm
Aderaratideon,Adjective,Venoso,,Ader
Adereon,Noun,Vena,,Ader
Aderideon,Adjective,Venoso,,Ader
Adrenalineon,Noun,Adrenalina,,Adrenalin
Adreseon,Noun,Dirección,,Adrenalin
Aeneon,Noun,Regalo,,Aen
Aenirian,Verb,Dar,,Aen
Aereon,Noun,Aire,,Aer
Aerideon,Adjective,Aéreo,,Aer
Afganistaneon,Noun,Afganistán,,Afganist
Afganistaniopaon,Noun,Afgano,,Afganist
Afhabeon,Noun,Preservación,,"Af, hab"
Afhabirian,Verb,Preservar,,"Af, hab"
Afirian,Verb,Alentador,,Af
Afpudlafeon,Noun,"Alentar, dar ánimo",,"Af, puda"
Afrikeon,Noun,África,,Afrik
Afrikideon,Adjective,Africano,,Afrik
Afrikiopaon,Noun,Africano,,Afrik
Aftasdiyeon,Noun,Mañana,,"Aft,as (astel),diy"
Aftasdiyin,Adverb,Desalentador,,"Aft, as (astel), diy"
Aftideon,Adjective,"Desaliento, desánimo",,Aft
Aftin,Adverb,Vena Yugular,,Aft
Aftratsgonaribirian,Verb,Llegar tarde,,"Aft, rats, gon, arib"
Aftufainaribirian,Verb,Llegar tarde,,"Aft, fain, arib"
Aftupibemeon,Noun,"Pausa, respiro",,"Aft, pib"
Aftupibideon,Adjective,Vena Subclavia,,"Aft, pib"
Aftupibirian,Verb,Vena Cefálica,,"Aft, pib"
Agakemaon,Noun,Científico,,"Agak, em"
Agakeon,Noun,Ciencia,,Agak
Agakideon,Adjective,Científico,,Agak
Agdemaon,Noun,Autor,,"Agd, em"
Agdirian,Verb,"Hacer (no material), llevar a cabo",,Agd
Agdufortaenbeabemeon,Noun,Bebida energética,,"Agd, fort, aen, beab"
Agdufortaenideon,Adjective,Energético,,"Agd, fort, aen"
Agdufortaenirian,Verb,Energizar,,"Agd, fort, aen"
Agduforteon,Noun,"Fuerza para hacer algo, energía",,Agak
